Date;Chinese Yuan;Russian Ruble;U.K. Pound Sterling;Euro;;Y n-2;R n-2;UK n-2;EUR n-2;Y n-1;R n-1;UK n-1;EUR n-1;;EUR n;;DYn-1;DRn-1;DUKn-1;DEURn-1;DEURn
09/01/2018;6,5165;57,0463;1,354;1,1932;;6,5165;57,0463;1,354;1,1932;6,5249;56,8734;1,35535;1,1992;;1,2017;;0,0084;-0,1729;0,00135;0,006;0,0025
10/01/2018;6,5249;56,8734;1,35535;1,1992;;6,5249;56,8734;1,35535;1,1992;6,5057;56,9957;1,3462;1,2017;;1,2137;;-0,0192;0,1223;-0,00915;0,0025;0,012
11/01/2018;6,5057;56,9957;1,3462;1,2017;;6,5057;56,9957;1,3462;1,2017;6,474;56,6019;1,3639;1,2137;;1,223;;-0,0317;-0,3938;0,0177;0,012;0,0093
12/01/2018;6,474;56,6019;1,3639;1,2137;;6,474;56,6019;1,3639;1,2137;6,4345;56,3878;1,3747;1,223;;1,2203;;-0,0395;-0,2141;0,0108;0,0093;-0,0027
16/01/2018;6,4345;56,3878;1,3747;1,223;;6,4345;56,3878;1,3747;1,223;6,4351;56,5925;1,3788;1,2203;;1,2235;;0,0006;0,2047;0,0041;-0,0027;0,0032
17/01/2018;6,4351;56,5925;1,3788;1,2203;;6,4351;56,5925;1,3788;1,2203;6,4301;56,7597;1,3886;1,2235;;1,2255;;-0,005;0,1672;0,0098;0,0032;0,002
18/01/2018;6,4301;56,7597;1,3886;1,2235;;6,4301;56,7597;1,3886;1,2235;6,4032;56,5892;1,38855;1,2255;;1,2239;;-0,0269;-0,1705;-5E-05;0,002;-0,0016
19/01/2018;6,4032;56,5892;1,38855;1,2255;;6,4032;56,5892;1,38855;1,2255;6,405;56,6261;1,39005;1,2239;;1,2249;;0,0018;0,0369;0,0015;-0,0016;0,001
22/01/2018;6,405;56,6261;1,39005;1,2239;;6,405;56,6261;1,39005;1,2239;6,4004;56,4115;1,39345;1,2249;;1,2352;;-0,0046;-0,2146;0,0034;0,001;0,0103
23/01/2018;6,4004;56,4115;1,39345;1,2249;;6,4004;56,4115;1,39345;1,2249;6,3918;56,3888;1,4136;1,2352;;1,2407;;-0,0086;-0,0227;0,02015;0,0103;0,0055
24/01/2018;6,3918;56,3888;1,4136;1,2352;;6,3918;56,3888;1,4136;1,2352;6,3388;55,9288;1,4258;1,2407;;1,2436;;-0,053;-0,46;0,0122;0,0055;0,0029
25/01/2018;6,3388;55,9288;1,4258;1,2407;;6,3388;55,9288;1,4258;1,2407;6,3205;55,8288;1,4247;1,2436;;1,2379;;-0,0183;-0,1;-0,0011;0,0029;-0,0057
26/01/2018;6,3205;55,8288;1,4247;1,2436;;6,3205;55,8288;1,4247;1,2436;6,3255;56,2908;1,4063;1,2379;;1,2421;;0,005;0,462;-0,0184;-0,0057;0,0042
29/01/2018;6,3255;56,2908;1,4063;1,2379;;6,3255;56,2908;1,4063;1,2379;6,3361;56,2914;1,4124;1,2421;;1,2457;;0,0106;0,0006;0,0061;0,0042;0,0036
30/01/2018;6,3361;56,2914;1,4124;1,2421;;6,3361;56,2914;1,4124;1,2421;6,296;56,184;1,4161;1,2457;;1,2459;;-0,0401;-0,1074;0,0037;0,0036;0,0002
31/01/2018;6,296;56,184;1,4161;1,2457;;6,296;56,184;1,4161;1,2457;6,3021;56,2613;1,4219;1,2459;;1,2492;;0,0061;0,0773;0,0058;0,0002;0,0033
