Country Name;Country Code;Region;IncomeGroup;Year;Life Expectancy World Bank;Prevelance of Undernourishment;CO2;Health Expenditure %;Education Expenditure %;Unemployment;Injuries;Communicable;NonCommunicable
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2003;63,359;11,2;70,0000003;12,6178236;3,246929884;16,36000061;3268,34;36798,71;24566,31
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2005;64,659;9;79,99999821;11,51630402;4,856450081;16,46999931;3303,5;35858,7;24876,27
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2002;62,687;12,8;59,99999866;10,66279221;2,720580101;17,62999916;3781,09;36011,64;25804,54
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2004;64,02;9,8;70,0000003;11,86979675;3,234709978;16,12000084;3888,15;33050,62;26464,67
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2006;65,27;9;79,99999821;8,27670765;4,271180153;16,64999962;3832,71;31177,03;26649,59
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2008;66,412;11,1;90,00000358;7,11202765;5,554490089;15,63099957;4948,35;27718,05;27121,43
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2007;65,854;9,8;79,99999821;8,1677618;6,286829948;16,23399925;4698,14;28289,04;27384,36
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2009;66,938;12,1;90,00000358;7,19514179;10,67790031;15,19900036;3792,05;25773,81;27489,54
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2011;67,885;13,5;100,0000015;6,75577354;8,89109993;14,1079998;3659,3;23856,95;27821,03
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2012;68,306;13,3;119,9999973;6,47629499;6,339509964;13,59000015;3597,16;24466,1;27950,51
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2010;67,43;13;100,0000015;6,84464884;9,651470184;14,60499954;3945,29;23395,06;28459,76
